result_id,run_id,fixture_id,metric_id,classification,status,sample_count,mean,median,minimum,maximum,stddev,target,accepted_minimum,accepted_maximum,unit,source,notes
m06a-physx-world-transition:world.streaming_neighbor_loaded,m06a-physx-world-transition,world-transition,world.streaming_neighbor_loaded,RemakeDesignTarget,Passed,1,1,1,1,1,0,1,1,1,bool,Docs/VehicleValidation/M06A_PHYSX_RUN_EVIDENCE.json,Bounded production boundary only; full road contract remains open.
m06a-physx-world-transition:world.route_progress_m,m06a-physx-world-transition,world-transition,world.route_progress_m,RemakeDesignTarget,Passed,1,12.25507,12.25507,12.25507,12.25507,0,12.23,12.23,,m,Docs/VehicleValidation/M06A_PHYSX_RUN_EVIDENCE.json,Garage start to streaming boundary.
m06a-physx-world-transition:world.maximum_lateral_deviation_m,m06a-physx-world-transition,world-transition,world.maximum_lateral_deviation_m,RemakeDesignTarget,Passed,1,0.2136383,0.2136383,0.2136383,0.2136383,0,1.1,0,1.1,m,Docs/VehicleValidation/M06A_PHYSX_RUN_EVIDENCE.json,Bounded corridor target.
m06a-physx-world-transition:contact.maximum_zero_contact_streak_frames,m06a-physx-world-transition,world-transition,contact.maximum_zero_contact_streak_frames,RemakeDesignTarget,Passed,1,0,0,0,0,0,0,0,8,frames,Docs/VehicleValidation/M06A_PHYSX_RUN_EVIDENCE.json,Bounded garage/driveway/streaming traversal.
m06a-physx-world-transition:world.post_streaming_contact_wheel_count,m06a-physx-world-transition,world-transition,world.post_streaming_contact_wheel_count,RemakeDesignTarget,Passed,1,4,4,4,4,0,2,2,4,count,Docs/VehicleValidation/M06A_PHYSX_RUN_EVIDENCE.json,Wheel contacts after automatic neighbor load completed.
m06a-physx-world-transition:world.post_streaming_vertical_delta_m,m06a-physx-world-transition,world-transition,world.post_streaming_vertical_delta_m,RemakeDesignTarget,Passed,1,0.00023139,0.00023139,0.00023139,0.00023139,0,0.35,0,0.35,m,Docs/VehicleValidation/M06A_PHYSX_RUN_EVIDENCE.json,Maximum vertical displacement while supported only by cell_0_-2.
m06a-physx-world-transition:world.streaming_minimum_contact_wheel_count,m06a-physx-world-transition,world-transition,world.streaming_minimum_contact_wheel_count,RemakeDesignTarget,Passed,1,4,4,4,4,0,2,2,4,count,Docs/VehicleValidation/M06A_PHYSX_RUN_EVIDENCE.json,Minimum wheel support observed while automatic scene loading was active.
m06a-physx-world-transition:world.streaming_maximum_vertical_delta_m,m06a-physx-world-transition,world-transition,world.streaming_maximum_vertical_delta_m,RemakeDesignTarget,Passed,1,0,0,0,0,0,0.35,0,0.35,m,Docs/VehicleValidation/M06A_PHYSX_RUN_EVIDENCE.json,Maximum chassis vertical displacement while automatic scene loading was active.
m06a-physx-world-transition:world.next_cell_only_minimum_contact_wheel_count,m06a-physx-world-transition,world-transition,world.next_cell_only_minimum_contact_wheel_count,RemakeDesignTarget,Passed,1,4,4,4,4,0,2,2,4,count,Docs/VehicleValidation/M06A_PHYSX_RUN_EVIDENCE.json,cell_0_-3 colliders disabled; support must come from cell_0_-2.
m06a-physx-world-transition:world.next_cell_only_maximum_vertical_delta_m,m06a-physx-world-transition,world-transition,world.next_cell_only_maximum_vertical_delta_m,RemakeDesignTarget,Passed,1,0.00023139,0.00023139,0.00023139,0.00023139,0,0.35,0,0.35,m,Docs/VehicleValidation/M06A_PHYSX_RUN_EVIDENCE.json,Maximum vertical displacement with only cell_0_-2 collision enabled.
m06a-physx-world-transition:world.surface_transition_lookup_pass,m06a-physx-world-transition,world-transition,world.surface_transition_lookup_pass,RemakeDesignTarget,Passed,1,1,1,1,1,0,1,1,1,bool,Docs/VehicleValidation/M06A_PHYSX_RUN_EVIDENCE.json,"Wheel contacts resolved garage Paved, driveway/road Gravel, and next-cell ShoreApproach Grass metadata."
m06a-physx-garage-clearance:contact.minimum_wheel_count,m06a-physx-garage-clearance,garage-clearance,contact.minimum_wheel_count,RemakeDesignTarget,Passed,1,4,4,4,4,0,2,2,4,count,Docs/VehicleValidation/M06A_PHYSX_RUN_EVIDENCE.json,Minimum contacts while leaving the garage and crossing the boundary.
m06a-physx-start-idle:numeric.finite_state,m06a-physx-start-idle,start-idle,numeric.finite_state,RemakeDesignTarget,Passed,1,1,1,1,1,0,1,1,1,bool,Docs/VehicleValidation/M06A_PHYSX_RUN_EVIDENCE.json,Passing suite asserts finite state throughout this fixture.
m06a-physx-acceleration:numeric.finite_state,m06a-physx-acceleration,acceleration,numeric.finite_state,RemakeDesignTarget,Passed,1,1,1,1,1,0,1,1,1,bool,Docs/VehicleValidation/M06A_PHYSX_RUN_EVIDENCE.json,Passing suite asserts finite state throughout this fixture.
m06a-physx-braking:numeric.finite_state,m06a-physx-braking,braking,numeric.finite_state,RemakeDesignTarget,Passed,1,1,1,1,1,0,1,1,1,bool,Docs/VehicleValidation/M06A_PHYSX_RUN_EVIDENCE.json,Passing suite asserts finite state throughout this fixture.
m06a-physx-coastdown:numeric.finite_state,m06a-physx-coastdown,coastdown,numeric.finite_state,RemakeDesignTarget,Passed,1,1,1,1,1,0,1,1,1,bool,Docs/VehicleValidation/M06A_PHYSX_RUN_EVIDENCE.json,Passing suite asserts finite state throughout this fixture.
m06a-physx-steering-slalom:numeric.finite_state,m06a-physx-steering-slalom,steering-slalom,numeric.finite_state,RemakeDesignTarget,Passed,1,1,1,1,1,0,1,1,1,bool,Docs/VehicleValidation/M06A_PHYSX_RUN_EVIDENCE.json,Passing suite asserts finite state throughout this fixture.
m06a-physx-suspension-bump:numeric.finite_state,m06a-physx-suspension-bump,suspension-bump,numeric.finite_state,RemakeDesignTarget,Passed,1,1,1,1,1,0,1,1,1,bool,Docs/VehicleValidation/M06A_PHYSX_RUN_EVIDENCE.json,Passing suite asserts finite state throughout this fixture.
m06a-physx-surface-comparison:numeric.finite_state,m06a-physx-surface-comparison,surface-comparison,numeric.finite_state,RemakeDesignTarget,Passed,1,1,1,1,1,0,1,1,1,bool,Docs/VehicleValidation/M06A_PHYSX_RUN_EVIDENCE.json,Passing suite asserts finite state throughout this fixture.
m06a-physx-hill-start:numeric.finite_state,m06a-physx-hill-start,hill-start,numeric.finite_state,RemakeDesignTarget,Passed,1,1,1,1,1,0,1,1,1,bool,Docs/VehicleValidation/M06A_PHYSX_RUN_EVIDENCE.json,Passing suite asserts finite state throughout this fixture.
m06a-physx-garage-clearance:numeric.finite_state,m06a-physx-garage-clearance,garage-clearance,numeric.finite_state,RemakeDesignTarget,Passed,1,1,1,1,1,0,1,1,1,bool,Docs/VehicleValidation/M06A_PHYSX_RUN_EVIDENCE.json,Passing suite asserts finite state throughout this fixture.
m06a-physx-world-transition:numeric.finite_state,m06a-physx-world-transition,world-transition,numeric.finite_state,RemakeDesignTarget,Passed,1,1,1,1,1,0,1,1,1,bool,Docs/VehicleValidation/M06A_PHYSX_RUN_EVIDENCE.json,Passing suite asserts finite state throughout this fixture.
m06a-reference-reference-only:mass.donor_root_rigidbody_component_kg,m06a-reference-reference-only,reference-only,mass.donor_root_rigidbody_component_kg,MeasuredDonorReference,Informational,1,389,389,389,389,0,389,389,389,kg,ReferenceCaptureDatabase:3041151e93c71a87d89d19779615dc68,Exact kinematic donor component value; not comparable to curb or assembled mass.
m06a-reference-reference-only:geometry.body_mesh_aabb_width_m,m06a-reference-reference-only,reference-only,geometry.body_mesh_aabb_width_m,MeasuredDonorReference,Informational,1,1.465916,1.465916,1.465916,1.465916,0,1.465916,1.465916,1.465916,m,ReferenceCaptureDatabase:5b658bae6d89917e377db64110842c6a,Body mesh only; not assembled envelope.
m06a-reference-reference-only:geometry.body_mesh_aabb_height_m,m06a-reference-reference-only,reference-only,geometry.body_mesh_aabb_height_m,MeasuredDonorReference,Informational,1,1.110294,1.110294,1.110294,1.110294,0,1.110294,1.110294,1.110294,m,ReferenceCaptureDatabase:5b658bae6d89917e377db64110842c6a,Body mesh only; not assembled envelope.
m06a-reference-reference-only:geometry.body_mesh_aabb_length_m,m06a-reference-reference-only,reference-only,geometry.body_mesh_aabb_length_m,MeasuredDonorReference,Informational,1,3.546204,3.546204,3.546204,3.546204,0,3.546204,3.546204,3.546204,m,ReferenceCaptureDatabase:5b658bae6d89917e377db64110842c6a,Body mesh only; not assembled envelope.
m06a-reference-reference-only:mass.donor_total_assembled_kg,m06a-reference-reference-only,reference-only,mass.donor_total_assembled_kg,Unknown,Unknown,0,,,,,,,,,,Docs/ReferenceCapture/MISSING_REFERENCE_DATA.csv,No controlled donor/full-production fixture; intentionally not inferred.
m06a-reference-reference-only:mass.donor_center_of_mass_m,m06a-reference-reference-only,reference-only,mass.donor_center_of_mass_m,Unknown,Unknown,0,,,,,,,,,,Docs/ReferenceCapture/MISSING_REFERENCE_DATA.csv,No controlled donor/full-production fixture; intentionally not inferred.
m06a-reference-reference-only:mass.donor_part_contributions_kg,m06a-reference-reference-only,reference-only,mass.donor_part_contributions_kg,Unknown,Unknown,0,,,,,,,,,,Docs/ReferenceCapture/MISSING_REFERENCE_DATA.csv,No controlled donor/full-production fixture; intentionally not inferred.
m06a-reference-reference-only:engine.donor_torque_curve,m06a-reference-reference-only,reference-only,engine.donor_torque_curve,Unknown,Unknown,0,,,,,,,,,,Docs/ReferenceCapture/MISSING_REFERENCE_DATA.csv,No controlled donor/full-production fixture; intentionally not inferred.
m06a-reference-reference-only:engine.donor_throttle_response,m06a-reference-reference-only,reference-only,engine.donor_throttle_response,Unknown,Unknown,0,,,,,,,,,,Docs/ReferenceCapture/MISSING_REFERENCE_DATA.csv,No controlled donor/full-production fixture; intentionally not inferred.
m06a-reference-reference-only:engine.donor_free_rev_response,m06a-reference-reference-only,reference-only,engine.donor_free_rev_response,Unknown,Unknown,0,,,,,,,,,,Docs/ReferenceCapture/MISSING_REFERENCE_DATA.csv,No controlled donor/full-production fixture; intentionally not inferred.
m06a-reference-reference-only:engine.donor_stall_behavior,m06a-reference-reference-only,reference-only,engine.donor_stall_behavior,Unknown,Unknown,0,,,,,,,,,,Docs/ReferenceCapture/MISSING_REFERENCE_DATA.csv,No controlled donor/full-production fixture; intentionally not inferred.
m06a-reference-reference-only:engine.donor_engine_braking,m06a-reference-reference-only,reference-only,engine.donor_engine_braking,Unknown,Unknown,0,,,,,,,,,,Docs/ReferenceCapture/MISSING_REFERENCE_DATA.csv,No controlled donor/full-production fixture; intentionally not inferred.
m06a-reference-reference-only:clutch.donor_engagement,m06a-reference-reference-only,reference-only,clutch.donor_engagement,Unknown,Unknown,0,,,,,,,,,,Docs/ReferenceCapture/MISSING_REFERENCE_DATA.csv,No controlled donor/full-production fixture; intentionally not inferred.
m06a-reference-reference-only:clutch.donor_slip,m06a-reference-reference-only,reference-only,clutch.donor_slip,Unknown,Unknown,0,,,,,,,,,,Docs/ReferenceCapture/MISSING_REFERENCE_DATA.csv,No controlled donor/full-production fixture; intentionally not inferred.
m06a-reference-reference-only:gearbox.donor_ratios,m06a-reference-reference-only,reference-only,gearbox.donor_ratios,Unknown,Unknown,0,,,,,,,,,,Docs/ReferenceCapture/MISSING_REFERENCE_DATA.csv,No controlled donor/full-production fixture; intentionally not inferred.
m06a-reference-reference-only:drivetrain.donor_final_drive,m06a-reference-reference-only,reference-only,drivetrain.donor_final_drive,Unknown,Unknown,0,,,,,,,,,,Docs/ReferenceCapture/MISSING_REFERENCE_DATA.csv,No controlled donor/full-production fixture; intentionally not inferred.
m06a-reference-reference-only:longitudinal.donor_top_speed,m06a-reference-reference-only,reference-only,longitudinal.donor_top_speed,Unknown,Unknown,0,,,,,,,,,,Docs/ReferenceCapture/MISSING_REFERENCE_DATA.csv,No controlled donor/full-production fixture; intentionally not inferred.
m06a-reference-reference-only:longitudinal.donor_coastdown,m06a-reference-reference-only,reference-only,longitudinal.donor_coastdown,Unknown,Unknown,0,,,,,,,,,,Docs/ReferenceCapture/MISSING_REFERENCE_DATA.csv,No controlled donor/full-production fixture; intentionally not inferred.
m06a-reference-reference-only:longitudinal.donor_braking_distance,m06a-reference-reference-only,reference-only,longitudinal.donor_braking_distance,Unknown,Unknown,0,,,,,,,,,,Docs/ReferenceCapture/MISSING_REFERENCE_DATA.csv,No controlled donor/full-production fixture; intentionally not inferred.
m06a-reference-reference-only:longitudinal.donor_brake_balance,m06a-reference-reference-only,reference-only,longitudinal.donor_brake_balance,Unknown,Unknown,0,,,,,,,,,,Docs/ReferenceCapture/MISSING_REFERENCE_DATA.csv,No controlled donor/full-production fixture; intentionally not inferred.
m06a-reference-reference-only:longitudinal.donor_wheel_lock_slip,m06a-reference-reference-only,reference-only,longitudinal.donor_wheel_lock_slip,Unknown,Unknown,0,,,,,,,,,,Docs/ReferenceCapture/MISSING_REFERENCE_DATA.csv,No controlled donor/full-production fixture; intentionally not inferred.
m06a-reference-reference-only:longitudinal.hill_start_not_run,m06a-reference-reference-only,reference-only,longitudinal.hill_start_not_run,Unknown,Unknown,0,,,,,,,,,,Docs/ReferenceCapture/MISSING_REFERENCE_DATA.csv,No controlled donor/full-production fixture; intentionally not inferred.
m06a-reference-reference-only:lateral.donor_turning_radius,m06a-reference-reference-only,reference-only,lateral.donor_turning_radius,Unknown,Unknown,0,,,,,,,,,,Docs/ReferenceCapture/MISSING_REFERENCE_DATA.csv,No controlled donor/full-production fixture; intentionally not inferred.
m06a-reference-reference-only:lateral.donor_understeer_oversteer,m06a-reference-reference-only,reference-only,lateral.donor_understeer_oversteer,Unknown,Unknown,0,,,,,,,,,,Docs/ReferenceCapture/MISSING_REFERENCE_DATA.csv,No controlled donor/full-production fixture; intentionally not inferred.
m06a-reference-reference-only:lateral.donor_slip_recovery,m06a-reference-reference-only,reference-only,lateral.donor_slip_recovery,Unknown,Unknown,0,,,,,,,,,,Docs/ReferenceCapture/MISSING_REFERENCE_DATA.csv,No controlled donor/full-production fixture; intentionally not inferred.
m06a-reference-reference-only:suspension.donor_travel_damping_rebound,m06a-reference-reference-only,reference-only,suspension.donor_travel_damping_rebound,Unknown,Unknown,0,,,,,,,,,,Docs/ReferenceCapture/MISSING_REFERENCE_DATA.csv,No controlled donor/full-production fixture; intentionally not inferred.
m06a-reference-reference-only:suspension.body_roll_not_measured,m06a-reference-reference-only,reference-only,suspension.body_roll_not_measured,Unknown,Unknown,0,,,,,,,,,,Docs/ReferenceCapture/MISSING_REFERENCE_DATA.csv,No controlled donor/full-production fixture; intentionally not inferred.
m06a-reference-reference-only:suspension.pitch_not_measured,m06a-reference-reference-only,reference-only,suspension.pitch_not_measured,Unknown,Unknown,0,,,,,,,,,,Docs/ReferenceCapture/MISSING_REFERENCE_DATA.csv,No controlled donor/full-production fixture; intentionally not inferred.
m06a-reference-reference-only:world.production_bridge_continuity,m06a-reference-reference-only,reference-only,world.production_bridge_continuity,Unknown,Unknown,0,,,,,,,,,,Docs/ReferenceCapture/MISSING_REFERENCE_DATA.csv,No controlled donor/full-production fixture; intentionally not inferred.
m06a-reference-reference-only:world.production_full_road_route,m06a-reference-reference-only,reference-only,world.production_full_road_route,Unknown,Unknown,0,,,,,,,,,,Docs/ReferenceCapture/MISSING_REFERENCE_DATA.csv,No controlled donor/full-production fixture; intentionally not inferred.
m06a-reference-reference-only:world.curb_ditch_vehicle_fixture,m06a-reference-reference-only,reference-only,world.curb_ditch_vehicle_fixture,Unknown,Unknown,0,,,,,,,,,,Docs/ReferenceCapture/MISSING_REFERENCE_DATA.csv,No controlled donor/full-production fixture; intentionally not inferred.
m06a-reference-reference-only:world.vehicle_reset_recovery_fixture,m06a-reference-reference-only,reference-only,world.vehicle_reset_recovery_fixture,Unknown,Unknown,0,,,,,,,,,,Docs/ReferenceCapture/MISSING_REFERENCE_DATA.csv,No controlled donor/full-production fixture; intentionally not inferred.
